deploy,f8:bc:12:06:a1:f0,172.22.0.23,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.107
infra01,f8:bc:12:06:b0:f0,172.22.0.24,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.114
infra02,f8:bc:12:06:87:f0,172.22.0.25,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.109
infra03,f8:bc:12:06:df:f0,172.22.0.26,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.106
compute01,f8:bc:12:05:8f:80,172.22.0.27,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.105
compute02,f8:bc:12:07:28:70,172.22.0.28,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.104
compute03,f8:bc:12:06:cc:b0,172.22.0.29,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.102
compute04,f8:bc:12:06:f0:b0,172.22.0.30,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.95
compute05,f8:bc:12:06:db:70,172.22.0.31,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.99
compute06,f8:bc:12:06:5b:70,172.22.0.32,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.97
compute07,f8:bc:12:06:cd:70,172.22.0.33,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.96
compute08,f8:bc:12:07:23:70,172.22.0.34,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.100
logging01,f8:bc:12:07:4a:f0,172.22.0.35,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.101
logging02,f8:bc:12:07:05:b0,172.22.0.36,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.98
logging03,f8:bc:12:07:1d:30,172.22.0.37,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.103
cinder01,f8:bc:12:07:22:70,172.22.0.38,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.110
cinder02,f8:bc:12:06:c7:b0,172.22.0.39,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.113
cinder03,f8:bc:12:06:73:30,172.22.0.40,255.255.252.0,172.22.0.1,8.8.8.8,em1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.124
swift01,3c:fd:fe:9c:a8:7c,172.22.0.41,255.255.252.0,172.22.0.1,8.8.8.8,p2p1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.120
swift02,3c:fd:fe:9c:bb:c0,172.22.0.42,255.255.252.0,172.22.0.1,8.8.8.8,p2p1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.125
swift03,3c:fd:fe:9c:a8:e4,172.22.0.43,255.255.252.0,172.22.0.1,8.8.8.8,p2p1,ubuntu-14.04.3-server-unattended-osic-generic,10.3.73.118
